Historical Data,,,,,,,,
From 2021-08-31 to 2023-08-30,,,,,,,,
NL0010273215,,,,,,,,
Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Print table
10/10/2022,439.5,448.2,429,432.65,432.65,742388,37675,
11/10/2022,429.25,431.25,414.1,414.9,414.9,978239,46363,
12/10/2022,414.05,425.45,410.8,414.05,414.05,929776,39181,
13/10/2022,406,414.3,375.75,411.3,411.3,1566729,75768,
14/10/2022,420.3,421.4,397.05,397.45,397.45,1058285,47866,
17/10/2022,394.7,408.2,390.75,400.55,400.55,847559,41333,
18/10/2022,409.25,414.5,402.85,403.6,403.6,753705,39735,
19/10/2022,430.05,437.2,419.65,436.5,436.5,1325262,65301,
20/10/2022,437.25,456.65,431,452.3,452.3,1222707,52104,
21/10/2022,448,460.65,441.55,459.55,459.55,1439566,43150,
24/10/2022,469.15,482.75,462.4,477.95,477.95,1171863,56132,
25/10/2022,484.2,497.15,472.65,496,496,882478,44458,
26/10/2022,480,493.45,473.2,490.85,490.85,979867,49084,
27/10/2022,484.9,487.5,472.6,483.35,483.35,874251,48936,
28/10/2022,473,482.5,465.7,480.4,480.4,975210,50719,
31/10/2022,494.15,494.4,477.8,478,478,752090,37178,
1/11/2022,483.2,488.65,474.1,481.65,481.65,616602,29798,
2/11/2022,481.55,485.4,471.3,472.4,472.4,731356,36012,
3/11/2022,451.9,460.4,448.55,453.7,453.7,777774,36731,
4/11/2022,452.7,470.95,451.3,464.4,464.4,877480,42738,
7/11/2022,468.65,476.8,464.25,476.8,476.8,643132,29756,
8/11/2022,480,501.6,479,501.6,501.6,758092,42104,
9/11/2022,499,502.4,488.5,495.9,495.9,1025621,48664,
10/11/2022,488.5,548.5,487.1,544.2,544.2,1518859,63565,
11/11/2022,565.2,567.3,542.8,551.5,551.5,1392983,67895,
14/11/2022,553.6,567.7,549.6,565.3,565.3,904751,42431,
15/11/2022,566,584.3,562.5,579.3,579.3,935915,48730,
16/11/2022,577.5,579.9,552.3,558.7,558.7,915835,42492,
17/11/2022,560.9,565.4,551,565,565,695288,35198,
18/11/2022,568,579.7,563.8,571.4,571.4,1353866,38084,
21/11/2022,567.3,569.4,557.9,563.6,563.6,553555,26812,
22/11/2022,562.6,571.2,556.1,570.5,570.5,580170,26861,
23/11/2022,576.3,588.3,569.8,583.7,583.7,703373,32002,
24/11/2022,579.8,587.4,575.4,577.5,577.5,391813,17600,
25/11/2022,576,580.4,571.7,574.1,574.1,452644,17988,
28/11/2022,568.6,574.7,566.1,566.8,566.8,637163,28861,
29/11/2022,570.8,575.1,558.1,559.8,559.8,577427,26250,
30/11/2022,565.9,569.5,561.1,561.1,561.1,1082019,27466,
1/12/2022,585,585,573.7,582.2,582.2,842205,34221,
2/12/2022,578.2,585.5,564.2,574.7,574.7,744612,32001,
5/12/2022,571,576.3,568.1,572.4,572.4,432391,22873,
6/12/2022,570.8,577.1,563.3,567.8,567.8,499271,21946,
7/12/2022,561.6,570.6,557.4,565.2,565.2,599129,23846,
8/12/2022,561.2,573.5,556.1,570.8,570.8,632059,29450,
9/12/2022,573,579.2,569.8,577.3,577.3,622510,24738,
12/12/2022,567.3,571.6,561,569.1,569.1,695255,31916,
13/12/2022,574.4,605.3,573.4,593.2,593.2,1058644,46902,
14/12/2022,587.1,591.1,583.9,585.6,585.6,834216,30319,
15/12/2022,575,580.8,550.8,551.5,551.5,1094672,46568,
16/12/2022,550,552,536.3,540.5,540.5,2329206,46818,
19/12/2022,544.1,548.5,536,537.3,537.3,634663,23099,
20/12/2022,532.1,536.9,526,530,530,599592,24029,
21/12/2022,533.7,545.2,528.7,545.2,545.2,564799,21525,
22/12/2022,545,545.6,521.3,522.8,522.8,625230,25491,
23/12/2022,524,525.3,511.8,516.9,516.9,524477,24589,
26/12/2022,,,,,,None,None,
27/12/2022,518.8,521.3,505.9,510.3,510.3,421886,19310,
28/12/2022,509.5,510.3,500.4,501.8,501.8,445912,18129,
29/12/2022,502.5,518.7,500.3,516.7,516.7,457294,20094,
30/12/2022,516,516,502.5,503.8,503.8,506338,17720,
2/1/2023,515,517.3,509.2,516.9,516.9,399536,17876,
3/1/2023,522,536.4,517.6,520.3,520.3,711724,29846,
4/1/2023,526,542.5,519.7,537,537,846525,39200,
5/1/2023,537.1,544.2,533.3,539.9,539.9,533572,24394,
6/1/2023,538,554,532.4,551.5,551.5,567758,25104,
9/1/2023,564.3,588.3,559.7,586.6,586.6,964539,34920,
10/1/2023,575,585.4,571.4,582.7,582.7,666613,30389,
11/1/2023,589,594.4,587.2,592.7,592.7,807789,33870,
12/1/2023,592.8,611.4,588.9,599.4,599.4,984755,46395,
13/1/2023,599.5,608.9,598.6,604.7,604.7,761285,34862,
16/1/2023,604.1,608.3,601.5,607.2,607.2,404440,15727,
17/1/2023,604,611.7,595.7,606.4,606.4,787760,32862,
18/1/2023,610,623.7,609.8,613.6,613.6,775869,33723,
19/1/2023,606.8,613.8,590.6,590.6,590.6,866610,33639,
20/1/2023,590.6,592.7,583.8,590.4,590.4,1111498,32763,
23/1/2023,600,616.7,599,615,615,575200,28554,
24/1/2023,620,624.9,608.6,615.7,615.7,590295,31537,
25/1/2023,610,618,598,617.1,617.1,722617,35758,
26/1/2023,627,629.3,613.6,619.1,619.1,876948,46925,
27/1/2023,616.1,623.9,606,620.1,620.1,798555,38502,
30/1/2023,613,613,592.3,603.4,603.4,861372,45212,
31/1/2023,601.4,604.4,593.3,602.6,602.6,768243,31946,
1/2/2023,607.4,611.6,602.9,607.4,607.4,567061,29399,
2/2/2023,621.8,638.9,620.4,635,635,1037802,47701,
3/2/2023,632.9,639.5,621.7,639.5,639.5,1065740,46820,
6/2/2023,626.9,629.5,613.2,620.6,620.6,642047,34363,
7/2/2023,619.5,623,615.8,621.4,621.4,590259,24973,
8/2/2023,635,637.5,618.1,619.4,619.4,724736,32773,
9/2/2023,623.6,633.3,621.8,627.2,627.2,597339,28672,
10/2/2023,621,622.1,604.6,611.7,611.7,723724,38514,
13/2/2023,612.5,620.9,611.5,620.6,620.6,515376,23359,
14/2/2023,621.5,631.1,613.5,621.1,621.1,763986,35249,
15/2/2023,616.7,626.2,616,625.4,625.4,632368,34041,
16/2/2023,632,632.5,616,623,623,649654,30293,
17/2/2023,612.4,616.2,605.4,610.3,610.3,1233731,40608,
20/2/2023,607.8,608.3,600.3,603.6,603.6,334093,16134,
21/2/2023,600,603.7,589.5,596.9,596.9,488917,27503,
22/2/2023,596.2,597.3,587,593,593,560762,26490,
23/2/2023,598.8,606.6,594.1,594.7,594.7,543317,26617,
24/2/2023,603,603.7,579,579,579,1037197,28507,
27/2/2023,586.3,597.4,585.6,595.5,595.5,574015,25303,
28/2/2023,593,596,565.1,584,584,1117886,42340,
1/3/2023,589.4,589.8,573.6,574.6,574.6,669047,29542,
2/3/2023,567,577.5,561,577.5,577.5,663446,33202,
3/3/2023,586.8,590.8,584.5,589.4,589.4,664608,26293,
6/3/2023,595,595.3,586.1,590.2,590.2,643099,29417,
7/3/2023,581,587.9,573.3,574.1,574.1,629048,23766,
8/3/2023,577,583.7,573.7,582,582,538852,23302,
9/3/2023,585,589.7,574.1,585.3,585.3,539205,23269,
10/3/2023,571.6,583.1,569,577.6,577.6,698444,29709,
13/3/2023,577.2,580.6,551.5,565,565,946929,42233,
14/3/2023,567.5,577.8,557,576.1,576.1,732722,35535,
15/3/2023,575.8,579.5,554.5,568,568,959392,40261,
16/3/2023,577.7,587.9,562.8,587,587,962262,38751,
17/3/2023,594.9,604.5,589.6,596.1,596.1,2062198,39565,
20/3/2023,592.1,606.9,584.2,600.2,600.2,910289,40801,
21/3/2023,606.1,610.9,589.9,595.2,595.2,631007,29225,
22/3/2023,592.4,605.4,590.8,600.8,600.8,482732,19686,
23/3/2023,600.1,618.3,599.4,617.3,617.3,723309,32687,
24/3/2023,616.7,617.2,595.3,598.7,598.7,656947,30294,
27/3/2023,604.7,609.6,599.5,605.2,605.2,550331,22350,
28/3/2023,601.8,605.4,584.7,587.7,587.7,524005,22440,
29/3/2023,598.4,605.8,593.6,605.8,605.8,605576,26655,
30/3/2023,611.9,624,611.4,623.7,623.7,577844,22507,
31/3/2023,621,626.4,615.4,625.2,625.2,699618,26264,
3/4/2023,624,624.2,615.8,617.7,617.7,399312,18959,
4/4/2023,620.5,623.3,613.3,618.2,618.2,431198,18484,
5/4/2023,610.1,612.2,601,606.2,606.2,625683,24838,
6/4/2023,606.3,608.7,601.5,607,607,406108,19177,
7/4/2023,,,,,,None,None,
10/4/2023,,,,,,None,None,
11/4/2023,606.7,618.3,605.5,610.6,610.6,648392,23881,
