condition,odometer,paint_color,price,year
good,134918,silver,4999,2010
fair,167000,"",1200,2001
like new,122333,grey,840,2004
good,231000,black,2900,2000
good,122622,white,5900,2010
excellent,103000,silver,10500,2012
excellent,144000,green,4500,2007
excellent,117338,silver,4495,2003
good,231000,black,2900,2000
excellent,191142,blue,4000,2003
excellent,191142,blue,3500,2003
good,231000,black,2900,2000
good,235000,silver,1725,2000
good,143597,green,5450,2003
good,231000,black,2900,2000
good,143597,green,5450,2003
like new,94795,black,12900,2013
good,143597,green,5450,2003
good,186783,brown,2995,1998
good,231000,black,2900,2000
excellent,134000,white,10500,2016
good,71466,black,17595,2018
good,138900,silver,5200,2005
good,244500,"",2150,1998
good,119000,"",3900,2001
good,198000,grey,2800,2004
excellent,65000,brown,7900,2009
good,133000,yellow,4249,2009
good,196000,white,4400,2007
excellent,90209,grey,13990,2012
good,150123,green,5995,2007
good,205800,brown,2500,2002
good,202600,green,4000,2007
good,230133,grey,3000,2003
good,274464,black,3650,2003
excellent,233000,"",2499,2004
good,206000,red,2999,2005
excellent,100369,brown,4700,2006
good,86000,"",11500,2012
good,198223,white,1999,1996
excellent,108848,silver,10500,2011
good,85000,"",3000,2009
good,159855,silver,8000,2013
good,127000,silver,7495,2011
excellent,240000,white,4950,2009
excellent,129086,grey,7512,2010
excellent,151000,grey,6250,2007
excellent,157963,white,8500,2011
good,61000,black,17995,2016
excellent,157963,white,8500,2011
excellent,240000,white,4950,2009
excellent,124710,silver,8250,2007
fair,250000,green,1400,2002
like new,17000,silver,21995,2019
good,136208,white,9425,2012
good,173000,blue,2995,1992
good,199555,"",5695,2007
good,77382,silver,11900,2013
fair,183231,white,3275,2007
good,205925,silver,3800,2005
excellent,40100,black,14800,2014
excellent,62000,silver,8900,2009
fair,117000,red,6500,2012
excellent,29463,silver,7995,2006
excellent,165000,white,5200,2003
like new,169000,"",8900,2012
like new,184321,white,5900,2007
good,120000,yellow,5995,2007
excellent,160000,black,6990,2011
excellent,62000,silver,8900,2009
excellent,156000,blue,6500,2010
excellent,139787,custom,4995,2002
good,120000,yellow,5995,2007
excellent,187000,black,5500,2009
excellent,149000,silver,10000,2014
excellent,184000,"",2750,1996
excellent,105367,grey,7300,2007
good,119954,silver,800,2011
excellent,157000,white,4999,2003
excellent,136200,black,7775,2011
like new,192000,blue,1795,2007
good,215386,grey,3250,1998
excellent,181476,"",5700,2006
good,217000,grey,3700,2002
excellent,160000,"",6000,2009
excellent,177225,grey,7200,2011
good,217398,silver,3200,2002
like new,201699,white,4200,1996
excellent,160000,black,6998,2011
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,66658,blue,13350,2013
excellent,67930,red,16995,2017
excellent,66658,blue,13350,2013
excellent,66658,blue,13350,2013
good,119635,blue,10250,2015
good,202475,"",1600,1998
good,83674,silver,13650,2015
good,165000,green,4000,2004
good,131000,white,4200,2002
good,137546,green,6950,2007
good,137546,green,6950,2007
like new,145000,silver,2900,2001
good,151734,red,6950,2007
good,156084,silver,5650,2003
excellent,84252,black,21995,2018
excellent,129442,silver,10500,2013
excellent,129442,silver,10900,2013
excellent,129442,silver,10500,2013
excellent,136020,silver,9500,2010
excellent,157000,red,10500,2014
like new,121000,red,9750,2014
good,208000,red,2995,1987
good,169000,"",5900,2008
like new,201699,white,4200,1996
like new,179000,red,7000,2008
good,179000,red,6500,2008
excellent,76000,red,9800,2014
excellent,133338,silver,6995,2007
excellent,76000,green,6795,2005
excellent,135000,"",5700,2011
excellent,142000,silver,4468,2007
excellent,178000,grey,6500,2011
good,161021,grey,3300,2005
good,161748,grey,3300,2005
excellent,105286,silver,5995,2003
excellent,75946,black,15000,2014
excellent,104597,silver,9000,2009
