rating,gpa,white,female,tech_skills,unpaid_intshp,top_intshp,second_intshp
6,3.36,1,1,0,0,1,1
5,3.38,1,0,0,0,1,1
5,3.3,1,1,0,1,1,1
10,3.04,1,0,0,0,1,1
3,3.94,0,1,0,0,1,1
6,3.38,0,0,0,0,1,1
8,3.75,1,1,1,0,1,1
10,3.9,1,1,0,0,1,1
3,3.9,1,1,0,0,1,1
7,3.08,1,0,0,0,1,1
6,3.21,0,1,0,0,1,1
5,3.06,1,1,0,1,1,1
9,3.76,0,0,0,0,1,1
6,3.16,1,0,1,0,1,1
5,3.38,0,1,0,0,1,1
7,3.44,1,0,0,0,1,1
7,3.62,0,0,0,0,1,1
3,3.38,1,1,0,1,1,1
7,3.93,0,1,0,0,1,1
5,3.78,1,0,1,1,0,0
2,3.8,1,1,0,1,0,0
4,3.39,1,1,0,1,0,0
5,3.69,1,0,0,1,0,0
9,3.94,1,1,1,1,0,0
6,3.3,0,0,0,1,0,0
3,3.07,1,1,0,1,0,1
8,3.79,1,1,1,0,0,1
4,3.14,1,0,0,0,0,1
4,3.1,0,1,0,1,0,1
1,3.02,0,0,0,1,0,1
3,3.66,0,0,1,0,0,1
8,3.92,1,1,0,0,0,1
2,3.62,0,0,1,0,0,1
7,3.69,1,0,0,0,0,1
6,3.73,1,1,1,0,0,1
6,3.99,0,1,1,1,0,0
1,3.08,1,0,1,1,0,0
1,3.89,0,0,0,1,0,0
6,3.2,1,1,0,1,0,0
6,3.47,1,1,0,1,0,0
4,3.29,1,0,0,1,0,0
3,3.91,1,0,0,1,0,0
3,3.89,0,0,0,1,0,0
4,3.41,1,0,0,1,0,0
1,3.26,1,0,0,1,0,0
4,3.08,1,0,0,1,0,0
3,3.42,0,0,0,1,0,0
7,3.67,0,1,1,1,0,0
5,3.74,1,1,1,1,0,0
5,3.43,1,0,0,1,0,0
8,3.46,1,0,0,1,0,0
4,3.82,0,0,0,1,0,1
1,3.28,1,0,0,1,0,1
1,3.67,1,0,1,0,0,1
3,3.23,1,1,0,0,0,1
7,3.57,0,0,0,0,0,1
8,3.99,0,0,0,1,0,1
3,3.48,0,0,0,1,0,1
1,3.42,0,0,0,1,0,1
1,3.42,1,1,0,0,0,1
8,3.98,1,1,0,0,0,1
1,3.52,0,1,0,0,0,1
5,3.6,0,1,0,0,0,1
4,3.03,0,0,0,0,0,1
5,3.59,0,0,1,1,0,1
2,3.45,0,1,1,0,0,1
3,3.65,1,0,1,0,0,1
5,3.61,1,1,0,0,0,1
5,3.42,1,1,0,1,0,1
3,3.91,0,0,0,0,0,1
7,3.3,0,0,0,1,0,1
5,3.55,1,0,0,0,0,1
6,3.27,1,1,0,1,0,1
3,3.75,0,0,0,0,0,1
9,3.04,1,0,0,0,0,1
8,3.79,0,1,0,0,0,1
7,3.63,1,0,0,1,0,0
9,3.63,1,0,1,1,0,0
6,3.53,1,0,1,1,0,0
6,3.18,0,1,1,1,0,0
1,3.37,0,1,0,1,0,0
4,3.94,0,0,1,1,0,1
6,3.85,1,0,0,1,0,1
2,3.65,1,0,0,1,0,1
1,3.45,0,0,0,1,0,1
2,3.94,1,1,1,1,0,1
10,3.89,1,0,0,1,0,1
5,3.51,0,1,1,1,0,1
1,3.26,1,1,0,1,0,1
2,3.54,1,1,1,1,0,1
1,3.3,1,0,1,1,0,1
4,3.14,1,1,0,0,0,1
4,3.54,0,1,0,0,0,1
6,3.75,0,1,0,0,0,1
1,3.15,1,0,0,1,0,0
2,3.45,1,1,0,1,0,0
4,3.73,1,1,0,1,0,0
3,3.86,1,1,0,1,0,0
1,3.16,0,0,0,1,0,0
3,3.29,0,0,0,1,0,0
8,3.81,1,0,0,1,0,0
8,3.9,0,1,0,1,0,0
5,3.82,0,1,0,1,0,0
7,3.96,1,1,1,1,0,0
6,3.05,1,1,1,1,0,0
9,3.4,0,0,0,1,0,1
7,3.89,1,0,0,1,0,1
7,3.68,0,0,0,1,0,1
1,3.79,1,1,0,0,0,1
6,3.34,1,0,0,0,0,1
7,3.44,1,1,0,0,0,1
1,3.24,1,0,0,1,0,1
2,3.89,1,0,0,1,0,1
5,3.53,0,1,0,1,0,1
6,3.52,0,0,0,1,0,1
1,3.25,0,1,0,1,0,1
3,3.46,0,0,0,1,0,1
7,3.44,0,0,0,1,0,1
5,3.05,1,1,0,1,0,1
1,3.75,0,1,1,1,0,1
10,3.69,1,0,0,1,0,1
7,3.96,1,0,0,1,0,1
4,3.93,1,1,0,0,0,1
4,3.12,1,1,0,0,0,1
8,3.99,1,0,0,0,0,1
7,3.43,1,1,0,0,0,1
6,3.86,1,0,1,1,0,1
2,3.32,0,0,1,0,0,1
8,3.77,0,0,0,0,0,1
2,3.46,1,0,0,1,0,1
2,3.35,1,1,0,1,0,1
1,3.37,1,1,0,0,0,1
1,3.87,1,0,1,0,0,1
1,3.34,0,0,0,0,0,1
6,3.45,0,1,0,1,0,1
4,3.21,0,0,0,0,0,1
2,3.44,0,0,0,1,0,0
3,3.7,0,1,1,1,0,0
4,3.04,1,0,0,1,0,0
5,3.31,1,1,0,1,0,0
2,3.56,1,1,0,1,0,0
1,3.55,0,0,1,1,0,0
1,3.11,1,1,0,1,0,0
6,3.05,1,0,0,1,0,1
8,3.06,1,1,0,1,0,1
5,3.32,0,1,1,1,0,1
2,3.12,1,0,1,0,0,1
2,3.71,0,1,0,1,0,1
6,3.81,1,0,1,0,0,1
2,3.45,1,0,0,0,0,1
7,3.1,1,0,0,1,0,1
1,3.85,0,1,0,1,0,0
5,3.34,0,1,0,1,0,0
8,3.97,1,1,1,1,0,0
5,3.73,1,1,1,1,0,0
1,3.56,1,1,0,1,0,1
3,3.05,0,0,1,1,0,1
1,3.21,0,1,0,1,0,1
7,3.94,1,0,1,1,0,1
1,3.23,1,1,1,1,0,1
3,3.24,1,1,0,1,0,1
6,3.78,1,1,0,0,0,1
7,3.41,1,1,0,1,0,1
1,3.56,1,1,0,0,0,1
