"DayOfWeek","Date","Price","Open","High","Low","Change"
"Fri","11-03-2022","4.6255","4.6335","4.724","4.5945","-0.58%"
"Thu","10-03-2022","4.6525","4.5965","4.6785","4.574","+1.75%"
"Wed","09-03-2022","4.5725","4.7105","4.7885","4.553","-2.92%"
"Tue","08-03-2022","4.71","4.745","4.967","4.603","-0.44%"
"Mon","07-03-2022","4.731","4.92","5.0395","4.668","-4.18%"
"Sun","06-03-2022","N/A","N/A","N/A","N/A",NA
"Sat","05-03-2022","N/A","N/A","N/A","N/A",NA
"Fri","04-03-2022","4.9375","4.7825","4.949","4.751","+3.26%"
"Thu","03-03-2022","4.7815","4.671","4.7985","4.6615","+2.49%"
"Wed","02-03-2022","4.6655","4.571","4.705","4.5525","+1.5%"
"Tue","01-03-2022","4.5965","4.506","4.602","4.492","+3.19%"
"Mon","28-02-2022","4.4545","4.4925","4.532","4.45","-0.68%"
"Sun","27-02-2022","N/A","N/A","N/A","N/A",NA
"Sat","26-02-2022","N/A","N/A","N/A","N/A",NA
"Fri","25-02-2022","4.485","4.5075","4.5285","4.456","+0.61%"
"Thu","24-02-2022","4.458","4.4685","4.5835","4.4465","-0.61%"
"Wed","23-02-2022","4.4855","4.517","4.5355","4.455","-0.64%"
"Tue","22-02-2022","4.5145","4.513","4.547","4.478","+0.76%"
"Mon","21-02-2022","4.4805","4.5205","4.544","4.4675","-0.96%"
"Sun","20-02-2022","N/A","N/A","N/A","N/A",NA
"Sat","19-02-2022","N/A","N/A","N/A","N/A",NA
"Fri","18-02-2022","4.524","4.5065","4.572","4.5065","-0.06%"
"Thu","17-02-2022","4.5265","4.5465","4.5465","4.476","-0.29%"
"Wed","16-02-2022","4.5395","4.535","4.5885","4.5205","+0.11%"
"Tue","15-02-2022","4.5345","4.4825","4.5415","4.4825","+0.61%"
"Mon","14-02-2022","4.507","4.4695","4.5125","4.451","-0.03%"
"Sun","13-02-2022","N/A","N/A","N/A","N/A",NA
"Sat","12-02-2022","N/A","N/A","N/A","N/A",NA
"Fri","11-02-2022","4.5085","4.612","4.612","4.461","-3.21%"
"Thu","10-02-2022","4.658","4.617","4.699","4.5865","+1.22%"
"Wed","09-02-2022","4.602","4.456","4.6325","4.4295","+3.08%"
"Tue","08-02-2022","4.4645","4.4815","4.4825","4.417","-0.07%"
"Mon","07-02-2022","4.4675","4.5105","4.5145","4.45","-0.5%"
"Sun","06-02-2022","N/A","N/A","N/A","N/A",NA
"Sat","05-02-2022","N/A","N/A","N/A","N/A",NA
"Fri","04-02-2022","4.49","4.504","4.5125","4.4305","+0.4%"
"Thu","03-02-2022","4.472","4.4785","4.4785","4.46","-0.48%"
"Wed","02-02-2022","4.4935","4.4365","4.5015","4.4365","+1.4%"
"Tue","01-02-2022","4.4315","4.33","4.4415","4.3275","+2.43%"
"Mon","31-01-2022","4.3265","4.336","4.349","4.287","+0.32%"
"Sun","30-01-2022","N/A","N/A","N/A","N/A",NA
"Sat","29-01-2022","N/A","N/A","N/A","N/A",NA
"Fri","28-01-2022","4.3125","4.412","4.412","4.308","-2.51%"
"Thu","27-01-2022","4.4235","4.457","4.491","4.399","-2.03%"
"Wed","26-01-2022","4.515","4.4565","4.5345","4.419","+1.46%"
"Tue","25-01-2022","4.45","4.456","4.478","4.3855","+0.85%"
"Mon","24-01-2022","4.4125","4.522","4.538","4.3865","-2.46%"
"Sun","23-01-2022","N/A","N/A","N/A","N/A",NA
"Sat","22-01-2022","N/A","N/A","N/A","N/A",NA
"Fri","21-01-2022","4.524","4.5295","4.5805","4.484","-1.28%"
"Thu","20-01-2022","4.5825","4.449","4.586","4.444","+2.52%"
"Wed","19-01-2022","4.47","4.4035","4.4885","4.392","+2%"
"Tue","18-01-2022","4.3825","4.431","4.449","4.376","-1.15%"
"Mon","17-01-2022","4.4335","4.4443","4.4455","4.3827","+0.29%"
"Sun","16-01-2022","N/A","N/A","N/A","N/A",NA
"Sat","15-01-2022","N/A","N/A","N/A","N/A",NA
"Fri","14-01-2022","4.4205","4.5115","4.5475","4.4125","-2.76%"
"Thu","13-01-2022","4.546","4.557","4.577","4.5045","-0.67%"
"Wed","12-01-2022","4.5765","4.4315","4.601","4.42","+3.33%"
