rating,length,year,comedy,action,drama,documentary,romance,horror,thriller
58,101,2017,0,0,0,1,0,0,0
54,90,2015,0,0,1,0,0,0,0
56,92,2016,0,0,1,0,0,1,0
36,102,2011,0,1,1,0,0,0,1
34,150,2013,1,1,1,0,0,0,0
46,82,2012,0,0,0,0,0,0,1
48,220,2014,1,0,0,0,0,0,0
37,110,2018,0,0,1,0,0,0,0
56,110,2019,0,0,0,0,0,0,0
40,74,2020,1,0,0,0,0,0,0
49,86,2016,0,1,1,0,0,0,0
40,80,2020,0,1,1,0,0,0,0
56,104,2017,0,0,0,0,0,1,1
40,93,2010,0,0,1,0,1,0,0
49,88,2020,0,0,0,1,0,0,0
62,100,2019,1,0,1,0,0,0,0
54,83,2014,1,0,0,0,0,0,0
49,137,2013,0,1,1,0,0,0,1
57,124,2020,1,0,1,0,0,0,0
52,93,2018,0,0,0,1,0,0,0
57,72,2018,0,0,0,0,0,0,0
47,84,2018,0,1,0,0,0,1,0
88,95,2020,1,0,0,0,0,0,0
72,148,2010,0,0,1,0,1,0,0
71,113,2019,0,0,0,0,0,1,1
55,98,2018,1,0,0,0,0,0,0
57,142,2021,0,0,1,0,1,0,0
65,106,2017,0,0,1,0,0,0,0
52,109,1999,0,0,1,0,0,0,0
39,91,1999,0,0,1,0,0,0,0
70,100,2000,1,0,1,0,1,0,0
45,102,2019,0,0,0,0,0,0,1
43,140,2016,1,0,0,0,0,0,0
56,92,2007,0,0,1,0,0,0,0
55,91,2020,1,0,1,0,0,0,0
52,100,2020,0,0,1,0,1,0,1
41,106,2018,1,1,0,0,0,0,0
52,90,2015,0,0,1,0,1,0,0
63,94,2009,1,1,1,0,0,0,0
71,107,2016,0,1,0,0,0,0,0
41,124,2019,0,1,0,0,0,0,1
40,91,2013,0,0,0,1,0,0,0
66,169,2019,0,0,1,0,0,0,0
69,128,2005,0,0,0,0,0,0,1
47,123,2008,0,0,0,0,0,0,1
56,130,2013,0,0,1,0,0,0,0
55,95,2014,1,1,0,0,0,1,1
67,107,2014,1,0,0,0,0,0,0
56,93,2008,0,0,0,1,0,0,0
46,135,2002,1,0,0,1,0,0,0
42,105,2017,0,0,1,0,0,0,0
52,97,2021,1,0,0,0,1,0,0
35,122,2018,1,0,1,0,1,0,0
77,118,2017,1,0,1,0,0,0,0
50,99,2013,0,0,1,0,0,0,0
56,116,2017,0,0,1,0,0,0,1
38,103,2017,0,0,1,0,0,0,0
75,100,2004,1,0,0,0,0,0,0
33,90,2012,0,1,0,0,0,0,0
46,88,2019,1,0,1,0,0,0,0
46,80,2020,0,1,1,0,0,0,1
70,98,2017,1,0,1,0,0,0,0
58,127,2012,1,0,0,0,1,0,0
58,88,2016,0,0,1,0,1,0,1
86,147,2016,0,1,0,0,0,0,0
48,124,2017,0,1,0,0,0,0,0
52,115,2017,1,0,0,0,0,0,0
73,183,2001,1,0,1,0,1,0,0
60,120,2020,1,0,0,0,0,0,0
74,105,2010,0,1,0,0,0,0,1
53,131,2019,0,0,1,0,1,0,0
92,120,2017,0,1,1,0,0,0,0
40,105,2015,1,0,1,0,0,0,0
59,115,2021,0,0,0,0,0,1,1
46,93,2020,0,0,1,0,0,1,1
58,96,2020,0,0,1,0,0,1,0
52,100,2018,1,0,0,0,1,0,0
67,108,2012,0,0,0,1,0,0,0
41,106,2017,1,0,1,0,0,0,0
50,94,2015,0,0,1,0,0,0,1
47,99,2012,0,0,0,0,0,0,1
57,91,2019,1,0,1,0,0,0,0
60,80,2013,1,0,0,0,0,0,0
78,87,2007,1,0,0,0,0,0,0
59,105,2019,0,0,1,0,0,0,0
48,106,2020,0,0,1,0,1,0,0
32,88,2005,0,0,1,0,0,0,1
58,100,2021,1,0,1,0,0,0,0
37,103,2020,1,0,0,0,0,0,0
56,90,2000,0,0,0,0,0,1,1
42,87,2016,1,1,0,0,0,1,1
57,119,2020,0,0,1,0,0,0,0
67,120,2010,1,0,1,0,0,0,0
53,84,2001,0,0,0,0,0,1,1
64,100,2018,0,1,1,0,0,0,0
51,98,2017,0,0,1,0,0,0,0
39,90,2020,0,0,1,0,0,1,1
38,103,2007,1,0,0,0,0,0,0
48,140,2018,0,0,1,0,0,0,0
76,117,2017,0,1,0,0,0,0,1
50,103,2008,0,1,0,0,0,0,1
34,94,2017,0,0,0,0,0,1,0
36,86,2016,0,0,1,0,0,0,0
65,90,2020,0,0,0,0,0,1,1
73,110,2019,0,0,1,0,0,0,0
52,127,2014,0,0,0,0,0,1,1
53,101,2019,0,0,1,0,0,0,0
54,93,2001,1,0,1,0,0,0,0
37,93,2018,1,0,0,0,0,0,0
36,120,2020,0,0,1,0,0,0,0
47,82,2010,1,0,0,0,0,0,0
48,110,2020,1,0,0,0,0,0,0
70,96,2008,0,1,1,0,0,0,1
52,145,2019,0,1,0,0,0,0,1
46,105,2016,1,0,0,0,0,0,0
43,114,2008,0,0,0,1,0,0,0
48,101,2019,0,0,0,1,0,0,0
54,86,2015,1,0,0,0,0,1,0
57,88,2017,0,0,1,0,0,0,0
38,101,2015,1,0,0,0,0,0,0
74,81,2016,0,0,1,0,0,1,1
78,115,2019,0,0,0,0,0,0,0
53,83,2019,0,0,0,0,1,0,0
65,102,2019,0,0,1,0,0,0,1
44,96,2019,1,0,0,0,0,0,0
45,102,2019,0,0,1,0,1,0,0
38,87,2018,1,0,0,0,0,1,0
39,85,2009,1,0,0,0,1,0,0
69,89,1999,0,0,1,0,0,0,1
82,151,2006,0,1,0,0,0,0,0
10,95,2016,1,0,0,0,0,0,0
40,112,2019,0,0,1,0,0,0,0
50,100,2019,0,0,1,0,0,0,0
65,104,2013,0,0,0,0,0,0,1
50,85,2019,1,0,0,0,1,0,0
63,82,2006,1,0,1,0,0,0,0
68,97,2010,0,1,1,0,0,0,0
61,97,2019,0,1,0,0,0,1,1
66,114,2019,0,0,1,0,1,0,1
53,100,2020,0,0,1,0,0,0,1
82,147,2019,0,1,1,0,0,0,1
36,156,2015,0,0,1,0,0,0,0
65,102,2007,0,0,1,0,0,0,1
46,88,2019,0,0,0,0,1,0,0
39,89,2018,0,0,0,0,0,1,0
51,100,2013,1,0,1,0,0,0,0
42,109,2021,1,0,0,0,1,0,0
41,105,2017,0,0,0,0,0,0,1
74,92,2009,0,1,0,0,0,0,1
37,94,2018,0,0,0,0,0,0,0
48,95,2019,0,0,0,1,0,0,0
52,107,2019,0,0,0,1,0,0,0
69,107,2017,0,0,1,0,0,0,0
68,110,2017,0,0,1,0,0,1,1
42,92,2018,0,0,0,1,0,0,0
65,111,2009,0,0,1,0,1,0,0
58,98,2018,0,0,1,0,0,0,0
47,100,2006,0,0,1,0,0,0,0
76,82,2016,0,0,0,0,1,0,0
46,115,2017,0,0,1,0,0,0,0
63,106,2018,0,0,1,0,0,0,1
65,144,1998,0,0,1,0,1,0,0
57,93,2017,0,0,0,1,0,0,0
50,89,2020,0,0,1,0,0,0,0
44,80,2017,1,0,0,0,0,0,0
13,108,2017,0,0,1,0,0,0,1
50,93,2011,0,0,1,0,1,0,1
42,146,2017,0,1,1,0,1,0,0
58,143,2011,0,1,1,0,0,0,0
71,101,2019,1,0,1,0,0,0,0
62,103,2013,0,0,0,1,0,0,0
35,81,2012,0,0,1,0,0,0,0
64,109,2020,0,1,1,0,0,0,1
46,94,2020,0,0,0,0,0,0,1
40,84,2020,0,0,1,0,0,0,0
79,139,2018,0,0,1,0,0,0,1
62,77,2019,1,1,0,0,0,0,0
49,80,2000,0,0,0,1,0,0,0
67,118,2020,1,0,1,0,1,0,0
37,109,2012,0,0,0,0,0,0,1
64,101,2002,0,0,1,0,1,0,0
61,95,2018,1,1,0,0,0,0,0
46,91,2012,1,0,0,0,0,0,0
44,98,2021,1,0,0,0,0,0,0
69,106,2020,0,0,0,1,0,0,0
51,71,2019,0,0,0,1,0,0,0
53,93,2017,1,1,0,0,0,1,1
54,91,2009,0,0,0,0,0,1,1
48,101,2020,1,0,1,0,0,0,0
60,122,2019,0,0,1,0,1,0,0
53,100,2020,1,0,1,0,0,0,0
55,85,2016,0,0,1,0,0,0,0
55,91,2017,1,0,1,0,1,0,0
52,95,2009,1,0,0,0,0,0,0
51,84,2009,1,1,0,0,0,0,0
70,109,2018,0,0,1,0,0,0,1
64,150,2019,0,1,1,0,0,0,1
52,89,2003,0,0,1,0,0,0,0
59,108,2009,0,0,0,0,0,1,1
60,95,2020,0,0,0,0,0,0,0
41,141,2016,1,0,1,0,0,0,0
72,95,2013,1,0,0,0,0,0,0
63,118,2015,0,1,0,0,0,0,0
63,94,2000,1,0,0,0,1,0,0
55,110,2018,0,1,0,0,0,0,1
80,116,2016,0,1,1,0,0,0,1
82,91,2019,1,0,1,0,0,0,0
58,112,2017,1,0,0,0,0,0,0
52,171,2019,0,1,1,0,0,0,0
60,82,2019,0,0,0,1,0,0,0
56,75,2018,1,1,0,0,0,1,1
74,110,2019,0,0,1,0,0,0,1
47,104,2009,0,0,1,0,1,0,0
53,177,1999,0,0,1,0,0,0,0
74,108,2011,1,0,0,0,1,0,0
42,88,2006,0,0,1,0,1,0,0
44,80,2013,1,0,0,0,0,0,0
65,84,2019,0,1,1,0,0,0,1
39,128,2016,1,0,1,0,1,0,0
37,89,2014,0,1,0,0,0,0,1
