price,age,odometer,state_ca,state_fl,state_ny,state_tx
15495,5,56514,1,0,0,0
19700,1,26200,1,0,0,0
8500,8,50000,1,0,0,0
10999,7,118661,1,0,0,0
10997,10,41000,1,0,0,0
16998,2,38781,1,0,0,0
18590,4,14317,1,0,0,0
10997,10,41000,1,0,0,0
10999,7,118661,1,0,0,0
4500,20,89000,1,0,0,0
14900,6,50202,1,0,0,0
12500,5,81371,1,0,0,0
16998,2,38781,1,0,0,0
8900,8,145000,1,0,0,0
2750,7,96203,1,0,0,0
12500,5,81371,1,0,0,0
2200,15,91000,1,0,0,0
5995,14,100514,1,0,0,0
6500,12,137203,1,0,0,0
6995,10,134594,1,0,0,0
16998,2,38781,1,0,0,0
16990,3,35973,1,0,0,0
12500,5,81371,1,0,0,0
19000,4,16592,1,0,0,0
19000,4,16592,1,0,0,0
19000,4,16592,1,0,0,0
13000,6,97787,1,0,0,0
12538,8,64238,1,0,0,0
8995,9,133713,1,0,0,0
11438,6,125515,1,0,0,0
9938,13,53454,1,0,0,0
8495,12,149726,1,0,0,0
10500,6,96955,1,0,0,0
8188,13,112005,1,0,0,0
10222,8,114082,1,0,0,0
17990,3,19632,1,0,0,0
1895,8,83000,0,1,0,0
7800,11,112589,0,1,0,0
7800,11,112589,0,1,0,0
2495,8,83000,0,1,0,0
10000,14,20365,0,1,0,0
7800,11,112589,0,1,0,0
14999,3,34113,0,1,0,0
7800,11,112589,0,1,0,0
7800,11,112589,0,1,0,0
9995,11,80156,0,1,0,0
9995,11,80156,0,1,0,0
9995,11,80156,0,1,0,0
9290,13,43152,0,1,0,0
8995,8,133528,0,1,0,0
8399,10,119951,0,1,0,0
16990,2,30185,0,1,0,0
11982,5,74723,0,1,0,0
9990,10,81523,0,1,0,0
8994,8,102641,0,1,0,0
7500,10,100900,0,1,0,0
15990,6,57869,0,1,0,0
11519,7,61312,0,1,0,0
22590,1,6134,0,1,0,0
11500,7,98001,0,1,0,0
4900,15,87277,0,1,0,0
9500,5,117795,0,1,0,0
11250,7,77892,0,1,0,0
10600,6,87021,0,1,0,0
11000,4,109646,0,1,0,0
8950,11,118290,0,1,0,0
4999,15,116517,0,1,0,0
10500,6,111427,0,1,0,0
16900,3,34788,0,1,0,0
3999,18,140000,0,1,0,0
16900,3,34788,0,1,0,0
11400,6,79498,0,1,0,0
9550,6,87021,0,1,0,0
10100,4,109646,0,1,0,0
12600,3,73229,0,1,0,0
9000,11,76796,0,1,0,0
16900,3,34788,0,1,0,0
7700,11,114100,0,1,0,0
6900,8,136000,0,1,0,0
8998,10,86000,0,1,0,0
10600,6,87021,0,1,0,0
11000,4,109646,0,1,0,0
10500,6,111427,0,1,0,0
4900,16,126626,0,1,0,0
22995,2,3362,0,1,0,0
17590,3,37182,0,1,0,0
4000,18,134600,0,1,0,0
2500,14,112000,0,1,0,0
9550,6,87021,0,1,0,0
10100,4,109646,0,1,0,0
11500,5,149357,0,1,0,0
2250,12,108750,0,1,0,0
10500,6,111427,0,1,0,0
7700,11,114100,0,1,0,0
4900,16,126626,0,1,0,0
7700,11,114100,0,1,0,0
6995,12,112526,0,1,0,0
9550,6,87021,0,1,0,0
16900,3,34788,0,1,0,0
4999,15,116517,0,1,0,0
15600,2,9800,0,1,0,0
11500,5,149357,0,1,0,0
10100,4,109646,0,1,0,0
4900,16,126626,0,1,0,0
16900,3,34788,0,1,0,0
14900,3,54669,0,1,0,0
10990,6,118567,0,1,0,0
14999,3,34113,0,1,0,0
9500,5,117795,0,1,0,0
11400,6,79498,0,1,0,0
11500,7,98001,0,1,0,0
11250,7,77892,0,1,0,0
17500,1,39928,0,1,0,0
10600,6,87021,0,1,0,0
11000,4,109646,0,1,0,0
12600,3,73229,0,1,0,0
8750,5,117795,0,1,0,0
11400,6,79498,0,1,0,0
11500,7,98001,0,1,0,0
9950,7,77892,0,1,0,0
10500,6,111427,0,1,0,0
14850,1,39928,0,1,0,0
18399,1,5342,0,1,0,0
12600,3,73229,0,1,0,0
8750,5,117795,0,1,0,0
11400,6,79498,0,1,0,0
11500,7,98001,0,1,0,0
9950,7,77892,0,1,0,0
4900,16,140000,0,1,0,0
9550,6,87021,0,1,0,0
10100,4,109646,0,1,0,0
9000,11,76796,0,1,0,0
1490,3,44000,0,1,0,0
1490,3,52000,0,1,0,0
16551,2,53965,0,1,0,0
14994,2,82124,0,1,0,0
17500,1,39928,0,1,0,0
11400,6,79498,0,1,0,0
11250,7,77892,0,1,0,0
17301,2,62145,0,1,0,0
9500,5,117795,0,1,0,0
16992,2,33066,0,1,0,0
14991,5,44391,0,1,0,0
10390,7,130000,0,1,0,0
14000,3,73229,0,1,0,0
6500,12,138000,0,1,0,0
13950,4,61929,0,1,0,0
11500,7,98001,0,1,0,0
10600,6,87021,0,1,0,0
1490,4,52000,0,1,0,0
1490,3,44000,0,1,0,0
17500,1,39928,0,1,0,0
7990,10,116725,0,1,0,0
5800,15,143468,0,1,0,0
6600,11,140000,0,1,0,0
1490,4,46651,0,1,0,0
11400,6,79498,0,1,0,0
11000,4,109646,0,1,0,0
7490,11,133155,0,1,0,0
7490,11,133155,0,1,0,0
17634,2,35572,0,1,0,0
11500,7,98001,0,1,0,0
16997,2,22981,0,1,0,0
23590,1,7399,0,1,0,0
16990,1,15920,0,1,0,0
17696,1,18305,0,1,0,0
16992,3,46387,0,1,0,0
17900,3,17814,0,1,0,0
19988,1,38084,0,1,0,0
18329,3,25621,0,1,0,0
18551,3,11406,0,1,0,0
8917,10,98655,0,1,0,0
11250,7,77892,0,1,0,0
9500,5,117795,0,1,0,0
14000,3,73229,0,1,0,0
17900,2,25704,0,1,0,0
11500,7,98001,0,1,0,0
13530,5,59673,0,1,0,0
17900,2,36074,0,1,0,0
11999,4,120403,0,1,0,0
16992,2,35355,0,1,0,0
16952,2,31065,0,1,0,0
10500,6,111427,0,1,0,0
13900,6,63222,0,1,0,0
10991,5,122237,0,1,0,0
14850,1,39928,0,1,0,0
9550,6,87021,0,1,0,0
19888,1,4174,0,1,0,0
11400,6,79498,0,1,0,0
11500,7,98001,0,1,0,0
11100,4,115000,0,1,0,0
9000,11,76796,0,1,0,0
9950,7,77892,0,1,0,0
8750,5,117795,0,1,0,0
9800,6,120000,0,1,0,0
12600,3,73229,0,1,0,0
5500,14,133840,0,1,0,0
16991,3,43248,0,1,0,0
11990,5,44808,0,1,0,0
14550,4,61577,0,1,0,0
10100,4,109646,0,1,0,0
4999,12,120694,0,1,0,0
19988,0,7853,0,1,0,0
12997,7,63400,0,1,0,0
16389,2,24819,0,1,0,0
17988,2,23000,0,1,0,0
12997,7,63400,0,1,0,0
12997,7,63400,0,1,0,0
12997,7,63400,0,1,0,0
10900,7,52000,0,1,0,0
16500,1,14415,0,1,0,0
5700,9,137651,0,1,0,0
14499,1,33883,0,1,0,0
10985,5,82000,0,1,0,0
12985,4,91000,0,1,0,0
3900,11,128800,0,1,0,0
1500,2,32243,0,1,0,0
3400,15,143000,0,1,0,0
8500,21,10000,0,1,0,0
2900,15,142000,0,1,0,0
9950,0,8466,0,1,0,0
1500,2,41307,0,1,0,0
2500,21,125000,0,1,0,0
6850,11,82620,0,1,0,0
3300,17,112000,0,1,0,0
7999,7,58497,0,1,0,0
14479,3,44039,0,1,0,0
8500,21,10000,0,1,0,0
10700,5,49000,0,1,0,0
6400,12,110000,0,1,0,0
17900,2,18300,0,1,0,0
3000,23,68900,0,1,0,0
5300,12,138500,0,1,0,0
4600,15,147832,0,1,0,0
9898,9,90000,0,1,0,0
6900,11,81000,0,1,0,0
13496,5,33691,0,1,0,0
1500,2,32243,0,1,0,0
8500,21,10000,0,1,0,0
1500,2,41307,0,1,0,0
8995,4,37000,0,1,0,0
7999,5,58497,0,1,0,0
10700,4,78509,0,1,0,0
8578,10,76792,0,1,0,0
14999,2,28815,0,1,0,0
12990,2,58000,0,1,0,0
5900,11,136000,0,1,0,0
5995,18,51000,0,1,0,0
8995,4,37000,0,1,0,0
1500,2,32243,0,1,0,0
12499,5,69706,0,1,0,0
1999,16,1,0,1,0,0
4600,15,134600,0,1,0,0
7488,12,87338,0,1,0,0
13896,8,25317,0,1,0,0
14995,4,43745,0,1,0,0
6500,11,103000,0,1,0,0
7000,10,70000,0,1,0,0
10600,6,87021,0,1,0,0
11000,4,109646,0,1,0,0
16500,3,45463,0,1,0,0
6500,11,104406,0,1,0,0
16500,3,45463,0,1,0,0
4950,12,128000,0,1,0,0
10500,6,111427,0,1,0,0
9550,6,87021,0,1,0,0
3999,18,140000,0,1,0,0
10100,4,109646,0,1,0,0
20590,1,1688,0,1,0,0
12900,5,90554,0,1,0,0
9900,5,76000,0,1,0,0
7650,11,90803,0,1,0,0
10995,5,138709,0,1,0,0
10991,5,82500,0,1,0,0
10995,5,138709,0,1,0,0
7650,11,90803,0,1,0,0
12991,3,56422,0,1,0,0
16990,4,36736,0,1,0,0
8800,7,93495,0,1,0,0
23590,1,7399,0,1,0,0
11900,3,70803,0,1,0,0
12500,4,75097,0,1,0,0
9982,10,73279,0,1,0,0
16490,3,26838,0,1,0,0
